Today''s Date,08/07/2020,Date of Test:,08/05/2020,Filename:,C:\Maccor\System\University at Buffalo # 1\Archive\gs_236_010h.078,Procedure,gs_236_010h.000,,SCap,1,C Rate
Rec#,Cyc#,Step,TestTime,StepTime,mAmp-hr,Watt-hr,mAmps,Volts,State,ES,DPt Time
1,0,1,0,0.,0.0000E+00,0.00,0.00,1.34,R,0,8/5/2020 19:15
2,0,1,0,0.016666667,0.0000E+00,0.00,0.00,1.34,R,1,8/5/2020 19:16
3,0,1,0,0.033333333,0.0000E+00,0.00,0.00,1.34,R,1,8/5/2020 19:17
4,0,1,0,0.05,0.0000E+00,0.00,0.00,1.34,R,1,8/5/2020 19:18
5,0,1,0,0.066666667,0.0000E+00,0.00,0.00,1.34,R,1,8/5/2020 19:19
6,0,1,0,0.083333333,0.0000E+00,0.00,0.00,1.34,R,129,8/5/2020 19:20
7,0,3,0,0.000011111,2.5388E-05,0.00,4.41,1.12,D,0,8/5/2020 19:20
8,0,3,0,0.000055556,2.2139E-04,0.00,4.41,1.15,D,5,8/5/2020 19:20
9,0,3,0,0.000233333,1.0054E-03,0.00,4.41,1.14,D,5,8/5/2020 19:20
10,0,3,0,0.000330556,1.4341E-03,0.00,4.41,1.13,D,5,8/5/2020 19:20
11,0,3,0,0.000430556,1.8751E-03,0.00,4.41,1.11,D,5,8/5/2020 19:20
12,0,3,0,0.000536111,2.3406E-03,0.00,4.41,1.10,D,5,8/5/2020 19:20
13,0,3,0,0.000655556,2.8674E-03,0.00,4.41,1.09,D,5,8/5/2020 19:20
14,0,3,0,0.000788889,3.4554E-03,0.00,4.41,1.08,D,5,8/5/2020 19:20
15,0,3,0,0.000941667,4.1291E-03,0.00,4.41,1.06,D,5,8/5/2020 19:20
16,0,3,0,0.001113889,4.8886E-03,0.00,4.41,1.05,D,5,8/5/2020 19:20
17,0,3,0,0.001305556,5.7339E-03,0.00,4.41,1.04,D,5,8/5/2020 19:20
18,0,3,0,0.001511111,6.6404E-03,0.00,4.41,1.03,D,5,8/5/2020 19:20
19,0,3,0,0.001741667,7.6571E-03,0.00,4.41,1.02,D,5,8/5/2020 19:20
20,0,3,0,0.001986111,8.7351E-03,0.00,4.41,1.01,D,5,8/5/2020 19:20
21,0,3,0,0.002252778,9.9111E-03,0.00,4.41,1.00,D,5,8/5/2020 19:20
22,0,3,0,0.002547222,1.1210E-02,0.00,4.41,0.99,D,5,8/5/2020 19:20
23,0,3,0,0.002863889,1.2606E-02,0.00,4.41,0.98,D,5,8/5/2020 19:20
24,0,3,0,0.003188889,1.4039E-02,0.00,4.41,0.97,D,5,8/5/2020 19:20
25,0,3,0,0.003530556,1.5546E-02,0.00,4.41,0.95,D,5,8/5/2020 19:20
26,0,3,0,0.003908333,1.7212E-02,0.00,4.41,0.94,D,5,8/5/2020 19:21
27,0,3,0,0.004341667,1.9123E-02,0.00,4.41,0.93,D,5,8/5/2020 19:21
28,0,3,0,0.004827778,2.1267E-02,0.00,4.41,0.92,D,5,8/5/2020 19:21
29,0,3,0,0.005408333,2.3827E-02,0.00,4.41,0.91,D,5,8/5/2020 19:21
30,0,3,0,0.006125,2.6988E-02,0.00,4.41,0.90,D,5,8/5/2020 19:21
31,0,3,0,0.007005556,3.0871E-02,0.00,4.41,0.89,D,5,8/5/2020 19:21
32,0,3,0,0.008161111,3.5967E-02,0.00,4.41,0.88,D,5,8/5/2020 19:21
33,0,3,0,0.009611111,4.2361E-02,0.00,4.41,0.87,D,5,8/5/2020 19:21
34,0,3,0,0.011383333,5.0177E-02,0.00,4.41,0.86,D,5,8/5/2020 19:21
35,0,3,0,0.013919444,6.1361E-02,0.00,4.41,0.85,D,5,8/5/2020 19:21
36,0,3,0,0.017233333,7.5975E-02,0.00,4.41,0.84,D,5,8/5/2020 19:21
37,0,3,0,0.022819444,1.0061E-01,0.00,4.41,0.83,D,5,8/5/2020 19:22
38,0,3,0,0.027527778,1.2137E-01,0.00,4.41,0.82,D,5,8/5/2020 19:22
39,0,3,0,0.031766667,1.4007E-01,0.00,4.41,0.81,D,5,8/5/2020 19:22
40,0,3,0,0.035730556,1.5755E-01,0.00,4.41,0.80,D,5,8/5/2020 19:22
41,0,3,0,0.039338889,1.7346E-01,0.00,4.41,0.79,D,5,8/5/2020 19:23
42,0,3,0,0.042625,1.8795E-01,0.00,4.41,0.78,D,5,8/5/2020 19:23
43,0,3,0,0.045513889,2.0069E-01,0.00,4.41,0.77,D,5,8/5/2020 19:23
44,0,3,0,0.048166667,2.1239E-01,0.00,4.41,0.76,D,5,8/5/2020 19:23
45,0,3,0,0.050497222,2.2267E-01,0.00,4.41,0.75,D,5,8/5/2020 19:23
46,0,3,0,0.052688889,2.3233E-01,0.00,4.41,0.74,D,5,8/5/2020 19:23
47,0,3,0,0.054722222,2.4130E-01,0.00,4.41,0.73,D,5,8/5/2020 19:24
48,0,3,0,0.056686111,2.4996E-01,0.00,4.41,0.72,D,5,8/5/2020 19:24
49,0,3,0,0.058713889,2.5890E-01,0.00,4.41,0.71,D,5,8/5/2020 19:24
50,0,3,0,0.060941667,2.6873E-01,0.00,4.41,0.70,D,5,8/5/2020 19:24
51,0,3,0,0.063855556,2.8158E-01,0.00,4.41,0.69,D,5,8/5/2020 19:24
52,0,3,0,0.067780556,2.9889E-01,0.00,4.41,0.68,D,5,8/5/2020 19:24
53,0,3,0,0.074013889,3.2638E-01,0.00,4.41,0.67,D,5,8/5/2020 19:25
54,0,3,0,0.081522222,3.5949E-01,0.00,4.41,0.66,D,5,8/5/2020 19:25
55,0,3,0,0.087122222,3.8418E-01,0.00,4.41,0.65,D,5,8/5/2020 19:26
56,0,3,0,0.091580556,4.0384E-01,0.00,4.41,0.64,D,5,8/5/2020 19:26
57,0,3,0,0.095480556,4.2104E-01,0.00,4.41,0.63,D,5,8/5/2020 19:26
58,0,3,0,0.098727778,4.3536E-01,0.00,4.41,0.62,D,5,8/5/2020 19:26
59,0,3,0,0.101608333,4.4807E-01,0.00,4.41,0.61,D,5,8/5/2020 19:26
60,0,3,0,0.104161111,4.5932E-01,0.00,4.41,0.60,D,5,8/5/2020 19:27
61,0,3,0,0.106477778,4.6954E-01,0.00,4.41,0.59,D,5,8/5/2020 19:27
62,0,3,0,0.108625,4.7901E-01,0.00,4.41,0.58,D,5,8/5/2020 19:27
63,0,3,0,0.110669444,4.8803E-01,0.00,4.41,0.57,D,5,8/5/2020 19:27
64,0,3,0,0.112555556,4.9634E-01,0.00,4.41,0.56,D,5,8/5/2020 19:27
65,0,3,0,0.114322222,5.0414E-01,0.00,4.41,0.55,D,5,8/5/2020 19:27
66,0,3,0,0.116116667,5.1205E-01,0.00,4.41,0.54,D,5,8/5/2020 19:27
67,0,3,0,0.117886111,5.1985E-01,0.00,4.41,0.53,D,5,8/5/2020 19:27
68,0,3,0,0.119619444,5.2750E-01,0.00,4.41,0.52,D,5,8/5/2020 19:27
69,0,3,0,0.121327778,5.3503E-01,0.00,4.41,0.50,D,5,8/5/2020 19:28
70,0,3,0,0.123080556,5.4276E-01,0.00,4.41,0.49,D,5,8/5/2020 19:28
71,0,3,0,0.124822222,5.5044E-01,0.00,4.41,0.48,D,5,8/5/2020 19:28
72,0,3,0,0.126588889,5.5823E-01,0.00,4.41,0.47,D,5,8/5/2020 19:28
73,0,3,0,0.128311111,5.6583E-01,0.00,4.41,0.46,D,5,8/5/2020 19:28
74,0,3,0,0.13005,5.7349E-01,0.00,4.41,0.45,D,5,8/5/2020 19:28
75,0,3,0,0.131797222,5.8120E-01,0.00,4.41,0.44,D,5,8/5/2020 19:28
76,0,3,0,0.133477778,5.8861E-01,0.00,4.41,0.43,D,5,8/5/2020 19:28
77,0,3,0,0.135094444,5.9574E-01,0.00,4.41,0.42,D,5,8/5/2020 19:28
78,0,3,0,0.13665,6.0260E-01,0.00,4.41,0.41,D,5,8/5/2020 19:28
79,0,3,0,0.138125,6.0910E-01,0.00,4.41,0.40,D,5,8/5/2020 19:29
80,0,3,0,0.138461111,6.1059E-01,0.00,4.41,0.40,D,133,8/5/2020 19:29
81,0,4,0,0.000008333,3.7717E-05,0.00,4.41,0.55,C,0,8/5/2020 19:29
82,0,4,0,0.000052778,2.3372E-04,0.00,4.41,0.57,C,5,8/5/2020 19:29
83,0,4,0,0.000108333,4.7872E-04,0.00,4.41,0.59,C,5,8/5/2020 19:29
84,0,4,0,0.000177778,7.8497E-04,0.00,4.41,0.60,C,5,8/5/2020 19:29
85,0,4,0,0.000266667,1.1770E-03,0.00,4.41,0.62,C,5,8/5/2020 19:29
86,0,4,0,0.000375,1.6547E-03,0.00,4.41,0.63,C,5,8/5/2020 19:29
87,0,4,0,0.000502778,2.2182E-03,0.00,4.41,0.64,C,5,8/5/2020 19:29
88,0,4,0,0.000652778,2.8797E-03,0.00,4.41,0.65,C,5,8/5/2020 19:29
89,0,4,0,0.000819444,3.6147E-03,0.00,4.41,0.67,C,5,8/5/2020 19:29
90,0,4,0,0.001005556,4.4355E-03,0.00,4.41,0.68,C,5,8/5/2020 19:29
91,0,4,0,0.001216667,5.3665E-03,0.00,4.41,0.69,C,5,8/5/2020 19:29
