,Rec#,Cyc#,Step,TestTime,StepTime,mAmp-hr,Watt-hr,mAmps,Volts,State,ES,DPt Time,spec_cap_unc,spec_cap_cor
0,1,0,1,0,0.0,0.0,0.0,0.0,1.34,R,0,8/5/2020 19:15,0.0,0.0
1,2,0,1,0,0.016666667,0.0,0.0,0.0,1.34,R,1,8/5/2020 19:16,0.0,0.0
2,3,0,1,0,0.033333333,0.0,0.0,0.0,1.34,R,1,8/5/2020 19:17,0.0,0.0
3,4,0,1,0,0.05,0.0,0.0,0.0,1.34,R,1,8/5/2020 19:18,0.0,0.0
4,5,0,1,0,0.066666667,0.0,0.0,0.0,1.34,R,1,8/5/2020 19:19,0.0,0.0
5,6,0,1,0,0.083333333,0.0,0.0,0.0,1.34,R,129,8/5/2020 19:20,0.0,0.0
6,7,0,3,0,1.1111e-05,2.5388e-05,0.0,4.41,1.12,D,0,8/5/2020 19:20,0.00577,0.00577
7,8,0,3,0,5.5556e-05,0.00022139,0.0,4.41,1.15,D,5,8/5/2020 19:20,0.050315909090909085,0.050315909090909085
8,9,0,3,0,0.00023333299999999998,0.0010054,0.0,4.41,1.14,D,5,8/5/2020 19:20,0.2285,0.2285
9,10,0,3,0,0.00033055599999999997,0.0014341,0.0,4.41,1.13,D,5,8/5/2020 19:20,0.32593181818181816,0.32593181818181816
10,11,0,3,0,0.00043055599999999996,0.0018750999999999998,0.0,4.41,1.11,D,5,8/5/2020 19:20,0.4261590909090908,0.4261590909090908
11,12,0,3,0,0.000536111,0.0023406,0.0,4.41,1.1,D,5,8/5/2020 19:20,0.5319545454545455,0.5319545454545455
12,13,0,3,0,0.0006555560000000001,0.0028674,0.0,4.41,1.09,D,5,8/5/2020 19:20,0.6516818181818181,0.6516818181818181
13,14,0,3,0,0.000788889,0.0034554000000000004,0.0,4.41,1.08,D,5,8/5/2020 19:20,0.7853181818181819,0.7853181818181819
14,15,0,3,0,0.000941667,0.0041291,0.0,4.41,1.06,D,5,8/5/2020 19:20,0.9384318181818182,0.9384318181818182
15,16,0,3,0,0.0011138889999999999,0.0048886,0.0,4.41,1.05,D,5,8/5/2020 19:20,1.1110454545454544,1.1110454545454544
16,17,0,3,0,0.001305556,0.0057339,0.0,4.41,1.04,D,5,8/5/2020 19:20,1.3031590909090909,1.3031590909090909
17,18,0,3,0,0.001511111,0.006640399999999999,0.0,4.41,1.03,D,5,8/5/2020 19:20,1.509181818181818,1.509181818181818
18,19,0,3,0,0.0017416670000000001,0.0076571,0.0,4.41,1.02,D,5,8/5/2020 19:20,1.7402499999999999,1.7402499999999999
19,20,0,3,0,0.001986111,0.008735099999999999,0.0,4.41,1.01,D,5,8/5/2020 19:20,1.9852499999999997,1.9852499999999997
20,21,0,3,0,0.002252778,0.0099111,0.0,4.41,1.0,D,5,8/5/2020 19:20,2.2525227272727273,2.2525227272727273
21,22,0,3,0,0.002547222,0.01121,0.0,4.41,0.99,D,5,8/5/2020 19:20,2.5477272727272724,2.5477272727272724
