C:\Maccor\System\University at Buffalo # 1\Archive\MV20789-1.094,Procedure,MV207-89 Cycling.000,,SCap,1
mAmp-hr,Watt-hr,mAmps,Volts,State,ES
0.0000000000,0.00,0.00,3.02,R,0
0.0000000000,0.00,0.00,3.02,R,1
0.0000000000,0.00,0.00,3.02,R,1
0.0000000000,0.00,0.00,3.02,R,1
0.0000000000,0.00,0.00,3.02,R,1
0.0000000000,0.00,0.00,3.02,R,1
0.0000000000,0.00,0.00,3.01,R,129
0.0000009059,0.00,0.30,2.88,D,0
0.0000142382,0.00,0.30,2.81,D,5
0.0000234052,0.00,0.30,2.77,D,5
0.0000334055,0.00,0.30,2.74,D,5
0.0000434042,0.00,0.30,2.71,D,5
0.0000542367,0.00,0.30,2.69,D,5
0.0000659033,0.00,0.30,2.66,D,5
0.0000784016,0.00,0.30,2.64,D,5
0.0000917352,0.00,0.30,2.61,D,5
0.0001050670,0.00,0.30,2.59,D,5
0.0001192309,0.00,0.30,2.57,D,5
0.0001350623,0.00,0.30,2.56,D,5
0.0001517280,0.00,0.30,2.54,D,5
0.0001700585,0.00,0.30,2.52,D,5
0.0001900557,0.00,0.30,2.51,D,5
0.0002133860,0.00,0.30,2.49,D,5
0.0002383834,0.00,0.30,2.48,D,5
0.0002658800,0.00,0.30,2.47,D,5
0.0002950418,0.00,0.30,2.45,D,5
0.0003258714,0.00,0.30,2.44,D,5
0.0003592001,0.00,0.30,2.43,D,5
0.0003950300,0.00,0.30,2.41,D,5
0.0004333575,0.00,0.30,2.40,D,5
0.0004741845,0.00,0.30,2.39,D,5
0.0005183458,0.00,0.30,2.38,D,5
0.0005650070,0.00,0.30,2.37,D,5
0.0006116676,0.00,0.30,2.35,D,5
0.0006591619,0.00,0.30,2.34,D,5
0.0007041569,0.00,0.30,2.33,D,5
0.0007499840,0.00,0.30,2.32,D,5
0.0007949783,0.00,0.30,2.31,D,5
0.0008374734,0.00,0.30,2.29,D,5
0.0008799675,0.00,0.30,2.28,D,5
0.0009207955,0.00,0.30,2.27,D,5
0.0009632908,0.00,0.30,2.26,D,5
0.0010057853,0.00,0.30,2.25,D,5
0.0010499470,0.00,0.30,2.23,D,5
0.0010932750,0.00,0.30,2.22,D,5
0.0011357690,0.00,0.30,2.21,D,5
0.0011790970,0.00,0.30,2.20,D,5
0.0012224259,0.00,0.30,2.19,D,5
0.0012640850,0.00,0.30,2.17,D,5
0.0013057476,0.00,0.30,2.16,D,5
0.0013499089,0.00,0.30,2.15,D,5
0.0013924036,0.00,0.30,2.14,D,5
0.0014340637,0.00,0.30,2.13,D,5
0.0014757242,0.00,0.30,2.12,D,5
0.0015232204,0.00,0.30,2.10,D,5
0.0015665476,0.00,0.30,2.09,D,5
0.0016115418,0.00,0.30,2.08,D,5
0.0016582021,0.00,0.30,2.07,D,5
0.0017056962,0.00,0.30,2.06,D,5
0.0017548565,0.00,0.30,2.04,D,5
0.0018056838,0.00,0.30,2.03,D,5
0.0018581780,0.00,0.30,2.02,D,5
0.0019123367,0.00,0.30,2.01,D,5
0.0019689959,0.00,0.30,2.00,D,5
0.0020289875,0.00,0.30,1.99,D,5
0.0020923140,0.00,0.30,1.98,D,5
0.0021573052,0.00,0.30,1.96,D,5
0.0022281315,0.00,0.30,1.95,D,5
0.0022997888,0.00,0.30,1.94,D,5
0.0023781121,0.00,0.30,1.93,D,5
0.0024589347,0.00,0.30,1.92,D,5
0.0025439215,0.00,0.30,1.91,D,5
0.0026364104,0.00,0.30,1.90,D,5
0.0027347306,0.00,0.30,1.89,D,5
0.0028405518,0.00,0.30,1.88,D,5
0.0029588707,0.00,0.30,1.87,D,5
0.0030821884,0.00,0.30,1.86,D,5
0.0032188380,0.00,0.30,1.85,D,5
0.0033646541,0.00,0.30,1.84,D,5
0.0035287989,0.00,0.30,1.83,D,5
0.0037162747,0.00,0.30,1.81,D,5
0.0039054168,0.00,0.30,1.80,D,5
0.0041095569,0.00,0.30,1.79,D,5
0.0043236962,0.00,0.30,1.78,D,5
0.0045594984,0.00,0.30,1.77,D,5
0.0048102998,0.00,0.30,1.76,D,5
0.0050819313,0.00,0.30,1.75,D,5
0.0053768954,0.00,0.30,1.74,D,5
0.0056935200,0.00,0.30,1.73,D,5
0.0059993159,0.00,0.30,1.72,D,5
0.0063351096,0.00,0.30,1.71,D,5
0.0066692341,0.00,0.30,1.70,D,5
0.0070300232,0.00,0.30,1.69,D,5
0.0073991436,0.00,0.30,1.68,D,5
0.0077640977,0.00,0.30,1.67,D,5
0.0081173866,0.00,0.30,1.66,D,5
0.0085190014,0.00,0.30,1.65,D,5
0.0089014546,0.00,0.30,1.64,D,5
0.0092830708,0.00,0.30,1.63,D,5
0.0096713561,0.00,0.30,1.62,D,5
0.0100771378,0.00,0.30,1.61,D,5
0.0105045830,0.00,0.30,1.60,D,5
0.0109878564,0.00,0.30,1.59,D,5
0.0115269523,0.00,0.30,1.58,D,5
0.0123185203,0.00,0.30,1.57,D,5
0.0172562383,0.00,0.30,1.58,D,5
0.0230805075,0.00,0.30,1.57,D,5
0.0282215275,0.00,0.30,1.56,D,5
0.0337933240,0.00,0.30,1.55,D,5
0.0401091908,0.00,0.30,1.54,D,5
0.0463009086,0.00,0.30,1.53,D,5
0.0526851066,0.00,0.30,1.52,D,5
0.0588118325,0.00,0.30,1.51,D,5
0.0653618358,0.00,0.30,1.50,D,5
0.0722401378,0.00,0.30,1.49,D,5
0.0794675532,0.00,0.30,1.48,D,5
0.0867599604,0.00,0.30,1.47,D,5
0.0952205629,0.00,0.30,1.46,D,5
0.1038811276,0.00,0.30,1.45,D,5
0.1126458625,0.00,0.30,1.44,D,5
0.1221504981,0.00,0.30,1.43,D,5
0.1321492396,0.00,0.30,1.42,D,1
0.1421479898,0.00,0.30,1.41,D,1
0.1521467429,0.00,0.30,1.40,D,1
0.1621454775,0.00,0.30,1.39,D,1
0.1721442216,0.00,0.30,1.38,D,1
0.1821429701,0.00,0.30,1.37,D,1
0.1919542328,0.00,0.30,1.36,D,5
0.2015496869,0.00,0.30,1.35,D,5
0.2113359684,0.00,0.30,1.34,D,5
0.2197699194,0.00,0.30,1.33,D,5
