Today''s Date,3/6/2020,Date of Test:,2/28/2020,Filename:,C:\Maccor\System\University at Buffalo # 1\Active\MV22274-2a.034,Procedure,MV22274-2.000,,SCap,1,C Rate
Rec#,Cyc#,Step,TestTime,StepTime,mAmp-hr,Watt-hr,mAmps,Volts,State,ES,DPt Time
1,0,1,0,0,0.00E+00,0,0,2.94,R,0,2/28/2020 17:55
2,0,1,0,0.016666667,0.00E+00,0,0,2.93,R,1,2/28/2020 17:56
3,0,1,0,0.033333333,0.00E+00,0,0,2.93,R,1,2/28/2020 17:57
4,0,1,0,0.05,0.00E+00,0,0,2.93,R,1,2/28/2020 17:58
5,0,1,0,0.066666667,0.00E+00,0,0,2.94,R,1,2/28/2020 17:59
6,0,1,0,0.083333333,0.00E+00,0,0,2.94,R,1,2/28/2020 18:00
7,0,1,0,0.1,0.00E+00,0,0,2.94,R,1,2/28/2020 18:01
8,0,1,0,0.116666667,0.00E+00,0,0,2.94,R,1,2/28/2020 18:02
9,0,1,0,0.133333333,0.00E+00,0,0,2.94,R,1,2/28/2020 18:03
10,0,1,0,0.15,0.00E+00,0,0,2.94,R,1,2/28/2020 18:04
11,0,1,0,0.166666667,0.00E+00,0,0,2.94,R,1,2/28/2020 18:05
12,0,1,0,0.183333333,0.00E+00,0,0,2.94,R,1,2/28/2020 18:06
13,0,1,0,0.2,0.00E+00,0,0,2.94,R,1,2/28/2020 18:07
14,0,1,0,0.216666667,0.00E+00,0,0,2.94,R,1,2/28/2020 18:08
15,0,1,0,0.233333333,0.00E+00,0,0,2.94,R,1,2/28/2020 18:09
16,0,1,0,0.25,0.00E+00,0,0,2.94,R,1,2/28/2020 18:10
17,0,1,0,0.266666667,0.00E+00,0,0,2.94,R,1,2/28/2020 18:11
18,0,1,0,0.283333333,0.00E+00,0,0,2.94,R,1,2/28/2020 18:12
19,0,1,0,0.3,0.00E+00,0,0,2.94,R,1,2/28/2020 18:13
20,0,1,0,0.316666667,0.00E+00,0,0,2.94,R,1,2/28/2020 18:14
21,0,1,0,0.333333333,0.00E+00,0,0,2.94,R,1,2/28/2020 18:15
22,0,1,0,0.35,0.00E+00,0,0,2.94,R,1,2/28/2020 18:16
23,0,1,0,0.366666667,0.00E+00,0,0,2.94,R,1,2/28/2020 18:17
24,0,1,0,0.383333333,0.00E+00,0,0,2.94,R,1,2/28/2020 18:18
25,0,1,0,0.4,0.00E+00,0,0,2.94,R,1,2/28/2020 18:19
26,0,1,0,0.416666667,0.00E+00,0,0,2.94,R,1,2/28/2020 18:20
27,0,1,0,0.433333333,0.00E+00,0,0,2.94,R,1,2/28/2020 18:21
28,0,1,0,0.45,0.00E+00,0,0,2.94,R,1,2/28/2020 18:22
29,0,1,0,0.466666667,0.00E+00,0,0,2.94,R,1,2/28/2020 18:23
30,0,1,0,0.483333333,0.00E+00,0,0,2.94,R,1,2/28/2020 18:24
31,0,1,1,0.5,0.00E+00,0,0,2.94,R,129,2/28/2020 18:25
32,0,3,1,0.000011111,1.80E-06,0,0.3,2.85,D,0,2/28/2020 18:25
33,0,3,1,0.000055556,1.51E-05,0,0.3,2.75,D,5,2/28/2020 18:25
34,0,3,1,0.000083333,2.35E-05,0,0.3,2.7,D,5,2/28/2020 18:25
35,0,3,1,0.000113889,3.26E-05,0,0.3,2.64,D,5,2/28/2020 18:25
36,0,3,1,0.000144444,4.18E-05,0,0.3,2.6,D,5,2/28/2020 18:25
37,0,3,1,0.000177778,5.18E-05,0,0.3,2.57,D,5,2/28/2020 18:25
38,0,3,1,0.000213889,6.26E-05,0,0.3,2.54,D,5,2/28/2020 18:25
39,0,3,1,0.000252778,7.43E-05,0,0.3,2.51,D,5,2/28/2020 18:25
40,0,3,1,0.000294444,8.68E-05,0,0.3,2.49,D,5,2/28/2020 18:25
41,0,3,1,0.000341667,1.01E-04,0,0.3,2.47,D,5,2/28/2020 18:25
42,0,3,1,0.000394444,1.17E-04,0,0.3,2.46,D,5,2/28/2020 18:25
43,0,3,1,0.000452778,1.34E-04,0,0.3,2.44,D,5,2/28/2020 18:25
44,0,3,1,0.000516667,1.53E-04,0,0.3,2.42,D,5,2/28/2020 18:25
45,0,3,1,0.000586111,1.74E-04,0,0.3,2.41,D,5,2/28/2020 18:25
46,0,3,1,0.000658333,1.96E-04,0,0.3,2.39,D,5,2/28/2020 18:25
47,0,3,1,0.000736111,2.19E-04,0,0.3,2.38,D,5,2/28/2020 18:25
48,0,3,1,0.000819444,2.44E-04,0,0.3,2.37,D,5,2/28/2020 18:25
49,0,3,1,0.000908333,2.71E-04,0,0.3,2.35,D,5,2/28/2020 18:25
50,0,3,1,0.001,2.98E-04,0,0.3,2.34,D,5,2/28/2020 18:25
51,0,3,1,0.001097222,3.28E-04,0,0.3,2.33,D,5,2/28/2020 18:26
52,0,3,1,0.001197222,3.58E-04,0,0.3,2.31,D,5,2/28/2020 18:26
53,0,3,1,0.0013,3.88E-04,0,0.3,2.3,D,5,2/28/2020 18:26
54,0,3,1,0.001411111,4.22E-04,0,0.3,2.29,D,5,2/28/2020 18:26
55,0,3,1,0.001525,4.56E-04,0,0.3,2.28,D,5,2/28/2020 18:26
56,0,3,1,0.001641667,4.91E-04,0,0.3,2.26,D,5,2/28/2020 18:26
57,0,3,1,0.001763889,5.28E-04,0,0.3,2.25,D,5,2/28/2020 18:26
58,0,3,1,0.001891667,5.66E-04,0,0.3,2.24,D,5,2/28/2020 18:26
59,0,3,1,0.002025,6.06E-04,0,0.3,2.23,D,5,2/28/2020 18:26
60,0,3,1,0.002161111,6.47E-04,0,0.3,2.21,D,5,2/28/2020 18:26
61,0,3,1,0.002302778,6.89E-04,0,0.3,2.2,D,5,2/28/2020 18:26
62,0,3,1,0.002444444,7.32E-04,0,0.3,2.19,D,5,2/28/2020 18:26
63,0,3,1,0.002591667,7.76E-04,0,0.3,2.18,D,5,2/28/2020 18:26
64,0,3,1,0.002741667,8.21E-04,0,0.3,2.17,D,5,2/28/2020 18:26
65,0,3,1,0.002897222,8.68E-04,0,0.3,2.16,D,5,2/28/2020 18:26
66,0,3,1,0.003061111,9.17E-04,0,0.3,2.14,D,5,2/28/2020 18:26
67,0,3,1,0.003227778,9.67E-04,0,0.3,2.13,D,5,2/28/2020 18:26
68,0,3,1,0.003394444,1.02E-03,0,0.3,2.12,D,5,2/28/2020 18:26
