,Rec#,Cyc#,Step,TestTime,StepTime,mAmp-hr,Watt-hr,mAmps,Volts,State,ES,DPt Time,mAh/g,mAh/g.1,spec_cap_unc,spec_cap_cor
0,1,0,1,0.0,0.0,0.0,0.0,0.0,3.020141909,R,0,43669.493969999996,0.0,0.0,0.0,0.0
1,2,0,1,0.083333333,0.083333333,0.0,0.0,0.0,3.019836728,R,1,43669.49745,0.0,0.0,0.0,0.0
2,3,0,1,0.166666667,0.166666667,0.0,0.0,0.0,3.018616007,R,1,43669.50092,0.0,0.0,0.0,0.0
3,4,0,1,0.25,0.25,0.0,0.0,0.0,3.017547875,R,1,43669.504389999995,0.0,0.0,0.0,0.0
4,5,0,1,0.333333333,0.333333333,0.0,0.0,0.0,3.0166323339999996,R,1,43669.507860000005,0.0,0.0,0.0,0.0
5,6,0,1,0.41666666700000005,0.41666666700000005,0.0,0.0,0.0,3.015716793,R,1,43669.51134,0.0,0.0,0.0,0.0
6,7,0,1,0.5,0.5,0.0,0.0,0.0,3.014801251,R,129,43669.51481,0.0,0.0,0.0,0.0
7,8,0,3,0.5000083329999999,8.33333e-06,9.06e-07,2.6074599999999996e-09,0.29938201,2.878080415,D,0,43669.51481,0.00047181800000000004,0.00047181800000000004,0.00047187499999999996,0.00047187499999999996
8,9,0,3,0.5000527779999999,5.2777799999999995e-05,1.42e-05,4.0372000000000006e-08,0.299763485,2.809109636,D,5,43669.51481,0.007415716,0.007415716,0.007395833333333333,0.007395833333333333
9,10,0,3,0.500083333,8.33333e-05,2.34e-05,6.5901e-08,0.299916075,2.7741664760000004,D,5,43669.51481,0.012190204,0.012190204,0.012187499999999999,0.012187499999999999
10,11,0,3,0.500116667,0.00011666700000000001,3.34e-05,9.3423e-08,0.299916075,2.741664759,D,5,43669.51481,0.017398709,0.017398709,0.017395833333333333,0.017395833333333333
11,12,0,3,0.50015,0.00015,4.34e-05,1.20641e-07,0.29999237,2.7129777980000003,D,5,43669.51481,0.02260633,0.02260633,0.022604166666666665,0.022604166666666665
