,Rec#,Cyc#,Step,TestTime,StepTime,mAmp-hr,Watt-hr,mAmps,Volts,State,ES,DPt Time,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,spec_cap_unc,spec_cap_cor
0,1,0,1,0,0.0,0.0,0.0,0.0,1.19,R,0,6/24/2020 14:14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
1,2,0,1,0,0.016666667,0.0,0.0,0.0,1.19,R,1,6/24/2020 14:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
2,3,0,1,0,0.033333333,0.0,0.0,0.0,1.19,R,1,6/24/2020 14:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
3,4,0,1,0,0.05,0.0,0.0,0.0,1.19,R,1,6/24/2020 14:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
4,5,0,1,0,0.066666667,0.0,0.0,0.0,1.19,R,1,6/24/2020 14:18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
5,6,0,1,0,0.083333333,0.0,0.0,0.0,1.19,R,129,6/24/2020 14:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
6,7,0,2,0,8.333e-06,1e-06,0.0,0.34,1.14,D,0,6/24/2020 14:19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00014727540500736376,0.00014727540500736376
7,8,0,2,0,0.016675,0.005667,0.0,0.34,1.14,D,1,6/24/2020 14:20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8346097201767305,0.8346097201767305
8,9,0,2,0,0.032486111,0.011042,0.0,0.34,1.13,D,5,6/24/2020 14:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6262150220913107,1.6262150220913107
9,10,0,2,0,0.048761110999999996,0.016574000000000002,0.0,0.34,1.12,D,5,6/24/2020 14:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4409425625920473,2.4409425625920473
10,11,0,2,0,0.06542777799999999,0.02224,0.0,0.34,1.11,D,1,6/24/2020 14:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.27540500736377,3.27540500736377
11,12,0,2,0,0.082094444,0.027905000000000003,0.0,0.34,1.1,D,1,6/24/2020 14:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.1097201767304865,4.1097201767304865
