Today''s Date,3/22/20,Date of Test:,3/9/20,Filename:,C:\Maccor\System\University at Buffalo # 1\Active\GS-211-146B.040,Procedure,GS-211-146B.000,,SCap,1
Rec#,Cyc#,Step,TestTime,StepTime,mAmp-hr,Watt-hr,mAmps,Volts,State,ES
1,0,1,0,0,0,0,0,1.38,0,0
2,0,1,0,0.016666667,0,0,0,1.38,0,1
3,0,1,0,0.033333333,0,0,0,1.38,0,1
4,0,1,0,0.05,0,0,0,1.38,0,1
5,0,1,0,0.066666667,0,0,0,1.38,0,1
6,0,1,0,0.083333333,0,0,0,1.38,0,1
7,0,1,0,0.1,0,0,0,1.38,0,1
8,0,1,0,0.116666667,0,0,0,1.38,0,1
9,0,1,0,0.133333333,0,0,0,1.38,0,1
10,0,1,0,0.15,0,0,0,1.38,0,1
11,0,1,0,0.166666667,0,0,0,1.38,0,1
12,0,1,0,0.183333333,0,0,0,1.38,0,1
13,0,1,0,0.2,0,0,0,1.38,0,1
14,0,1,0,0.216666667,0,0,0,1.38,0,1
15,0,1,0,0.233333333,0,0,0,1.38,0,1
16,0,1,0,0.25,0,0,0,1.38,0,1
17,0,1,0,0.266666667,0,0,0,1.37,0,1
18,0,1,0,0.283333333,0,0,0,1.37,0,1
19,0,1,0,0.3,0,0,0,1.37,0,1
20,0,1,0,0.316666667,0,0,0,1.37,0,1
21,0,1,0,0.333333333,0,0,0,1.37,0,1
22,0,1,0,0.35,0,0,0,1.37,0,1
23,0,1,0,0.366666667,0,0,0,1.37,0,1
24,0,1,0,0.383333333,0,0,0,1.37,0,1
25,0,1,0,0.4,0,0,0,1.37,0,1
26,0,1,0,0.416666667,0,0,0,1.37,0,1
27,0,1,0,0.433333333,0,0,0,1.37,0,1
28,0,1,0,0.45,0,0,0,1.37,0,1
29,0,1,0,0.466666667,0,0,0,1.37,0,1
30,0,1,0,0.483333333,0,0,0,1.37,0,1
31,0,1,1,0.5,0,0,0,1.37,0,129
32,0,3,1,0.000008333,0,0,0.24,1.33,0,0
33,0,3,1,0.00065,0,0,0.24,1.32,0,5
34,0,3,1,0.003638889,0,0,0.24,1.31,0,5
35,0,3,1,0.008158333,0,0,0.24,1.3,0,5
36,0,3,1,0.013913889,0,0,0.24,1.29,0,5
37,0,3,1,0.020066667,0,0,0.24,1.28,0,5
38,0,3,1,0.026211111,0.01,0,0.24,1.27,0,5
39,0,3,1,0.032641667,0.01,0,0.24,1.26,0,5
40,0,3,1,0.039141667,0.01,0,0.24,1.25,0,5
41,0,3,1,0.046005556,0.01,0,0.24,1.24,0,5
42,0,3,1,0.053144444,0.01,0,0.24,1.23,0,5
43,0,3,1,0.060688889,0.01,0,0.24,1.22,0,5
44,0,3,1,0.068916667,0.02,0,0.24,1.21,0,5
45,0,3,1,0.077830556,0.02,0,0.24,1.2,0,5
46,0,3,1,0.087455556,0.02,0,0.24,1.19,0,5
47,0,3,1,0.098122222,0.02,0,0.24,1.18,0,5
48,0,3,1,0.109530556,0.03,0,0.24,1.17,0,5
49,0,3,1,0.122066667,0.03,0,0.24,1.16,0,5
50,0,3,1,0.135561111,0.03,0,0.24,1.15,0,5
51,0,3,1,0.150583333,0.04,0,0.24,1.14,0,5
52,0,3,1,0.165811111,0.04,0,0.24,1.13,0,5
53,0,3,1,0.182880556,0.04,0,0.24,1.12,0,5
54,0,3,1,0.200358333,0.05,0,0.24,1.11,0,5
55,0,3,1,0.217983333,0.05,0,0.24,1.1,0,5
56,0,3,1,0.235761111,0.06,0,0.24,1.09,0,5
57,0,3,1,0.25385,0.06,0,0.24,1.08,0,5
58,0,3,1,0.271994444,0.07,0,0.24,1.07,0,5
59,0,3,1,0.290925,0.07,0,0.24,1.06,0,5
