Today''s Date,03/14/2020,Date of Test:,03/09/2020,Filename:,C:\Maccor\System\University at Buffalo # 1\Archive\GS-211-146A.037,Procedure,GS-211-146A.000,,SCap,1,C Rate
Rec#,Cyc#,Step,TestTime,StepTime,mAmp-hr,Watt-hr,mAmps,Volts,State,ES,DPt Time
1,0,1,0,0.,0.0000E+00,0.00,0.00,1.38,R,0,3/9/2020 18:08
2,0,1,0,0.016666667,0.0000E+00,0.00,0.00,1.38,R,1,3/9/2020 18:09
3,0,1,0,0.033333333,0.0000E+00,0.00,0.00,1.38,R,1,3/9/2020 18:10
4,0,1,0,0.05,0.0000E+00,0.00,0.00,1.38,R,1,3/9/2020 18:11
5,0,1,0,0.066666667,0.0000E+00,0.00,0.00,1.38,R,1,3/9/2020 18:12
6,0,1,0,0.083333333,0.0000E+00,0.00,0.00,1.38,R,1,3/9/2020 18:13
7,0,1,0,0.1,0.0000E+00,0.00,0.00,1.38,R,1,3/9/2020 18:14
8,0,1,0,0.116666667,0.0000E+00,0.00,0.00,1.38,R,1,3/9/2020 18:15
9,0,1,0,0.133333333,0.0000E+00,0.00,0.00,1.38,R,1,3/9/2020 18:16
10,0,1,0,0.15,0.0000E+00,0.00,0.00,1.37,R,1,3/9/2020 18:17
11,0,1,0,0.166666667,0.0000E+00,0.00,0.00,1.37,R,1,3/9/2020 18:18
12,0,1,0,0.183333333,0.0000E+00,0.00,0.00,1.37,R,1,3/9/2020 18:19
13,0,1,0,0.2,0.0000E+00,0.00,0.00,1.37,R,1,3/9/2020 18:20
14,0,1,0,0.216666667,0.0000E+00,0.00,0.00,1.37,R,1,3/9/2020 18:21
15,0,1,0,0.233333333,0.0000E+00,0.00,0.00,1.37,R,1,3/9/2020 18:22
16,0,1,0,0.25,0.0000E+00,0.00,0.00,1.37,R,1,3/9/2020 18:23
17,0,1,0,0.266666667,0.0000E+00,0.00,0.00,1.37,R,1,3/9/2020 18:24
18,0,1,0,0.283333333,0.0000E+00,0.00,0.00,1.37,R,1,3/9/2020 18:25
19,0,1,0,0.3,0.0000E+00,0.00,0.00,1.37,R,1,3/9/2020 18:26
20,0,1,0,0.316666667,0.0000E+00,0.00,0.00,1.37,R,1,3/9/2020 18:27
21,0,1,0,0.333333333,0.0000E+00,0.00,0.00,1.37,R,1,3/9/2020 18:28
22,0,1,0,0.35,0.0000E+00,0.00,0.00,1.37,R,1,3/9/2020 18:29
23,0,1,0,0.366666667,0.0000E+00,0.00,0.00,1.37,R,1,3/9/2020 18:30
24,0,1,0,0.383333333,0.0000E+00,0.00,0.00,1.37,R,1,3/9/2020 18:31
25,0,1,0,0.4,0.0000E+00,0.00,0.00,1.37,R,1,3/9/2020 18:32
26,0,1,0,0.416666667,0.0000E+00,0.00,0.00,1.37,R,1,3/9/2020 18:33
27,0,1,0,0.433333333,0.0000E+00,0.00,0.00,1.37,R,1,3/9/2020 18:34
28,0,1,0,0.45,0.0000E+00,0.00,0.00,1.36,R,1,3/9/2020 18:35
29,0,1,0,0.466666667,0.0000E+00,0.00,0.00,1.36,R,1,3/9/2020 18:36
30,0,1,0,0.483333333,0.0000E+00,0.00,0.00,1.36,R,1,3/9/2020 18:37
31,0,1,1,0.5,0.0000E+00,0.00,0.00,1.36,R,129,3/9/2020 18:38
32,0,3,1,0.000008333,3.6519E-06,0.00,1.20,1.28,D,0,3/9/2020 18:38
33,0,3,1,0.000519444,6.1696E-04,0.00,1.20,1.27,D,5,3/9/2020 18:38
34,0,3,1,0.0012,1.4336E-03,0.00,1.20,1.26,D,5,3/9/2020 18:39
35,0,3,1,0.002216667,2.6535E-03,0.00,1.20,1.25,D,5,3/9/2020 18:39
36,0,3,1,0.003563889,4.2701E-03,0.00,1.20,1.24,D,5,3/9/2020 18:39
37,0,3,1,0.005225,6.2633E-03,0.00,1.20,1.23,D,5,3/9/2020 18:39
38,0,3,1,0.006844444,8.2066E-03,0.00,1.20,1.22,D,5,3/9/2020 18:39
39,0,3,1,0.008405556,1.0080E-02,0.00,1.20,1.21,D,5,3/9/2020 18:39
40,0,3,1,0.010002778,1.1996E-02,0.00,1.20,1.20,D,5,3/9/2020 18:39
41,0,3,1,0.011677778,1.4006E-02,0.00,1.20,1.19,D,5,3/9/2020 18:39
42,0,3,1,0.013463889,1.6150E-02,0.00,1.20,1.18,D,5,3/9/2020 18:39
43,0,3,1,0.015288889,1.8339E-02,0.00,1.20,1.17,D,5,3/9/2020 18:39
44,0,3,1,0.01735,2.0813E-02,0.00,1.20,1.16,D,5,3/9/2020 18:39
45,0,3,1,0.019541667,2.3442E-02,0.00,1.20,1.15,D,5,3/9/2020 18:40
46,0,3,1,0.021988889,2.6379E-02,0.00,1.20,1.14,D,5,3/9/2020 18:40
