Today''s Date,07/24/2020,Date of Test:,07/23/2020,Filename:,C:\Maccor\System\University at Buffalo # 1\Archive\GS_236_007A.059,Procedure,GS_236_007A.000,,SCap,1,C Rate
Rec#,Cyc#,Step,TestTime,StepTime,mAmp-hr,Watt-hr,mAmps,Volts,State,ES,DPt Time
1,0,1,0,0.,0.00,0.00,0.00,1.43,R,0,7/23/2020 18:21
2,0,1,0,0.016666667,0.00,0.00,0.00,1.43,R,1,7/23/2020 18:22
3,0,1,0,0.033333333,0.00,0.00,0.00,1.43,R,1,7/23/2020 18:23
4,0,1,0,0.05,0.00,0.00,0.00,1.43,R,1,7/23/2020 18:24
5,0,1,0,0.066666667,0.00,0.00,0.00,1.43,R,1,7/23/2020 18:25
6,0,1,0,0.083333333,0.00,0.00,0.00,1.43,R,129,7/23/2020 18:26
7,0,2,0,0.000008333,0.00,0.00,0.12,1.41,D,0,7/23/2020 18:26
8,0,2,0,0.000827778,0.00,0.00,0.12,1.40,D,5,7/23/2020 18:26
9,0,2,0,0.004791667,0.00,0.00,0.12,1.39,D,5,7/23/2020 18:26
10,0,2,0,0.009458333,0.00,0.00,0.12,1.38,D,5,7/23/2020 18:26
11,0,2,0,0.014747222,0.00,0.00,0.12,1.37,D,5,7/23/2020 18:26
12,0,2,0,0.020405556,0.00,0.00,0.12,1.36,D,5,7/23/2020 18:27
13,0,2,0,0.026244444,0.00,0.00,0.12,1.35,D,5,7/23/2020 18:27
14,0,2,0,0.0322,0.00,0.00,0.12,1.34,D,5,7/23/2020 18:27
15,0,2,0,0.0381,0.00,0.00,0.12,1.33,D,5,7/23/2020 18:28
16,0,2,0,0.044319444,0.01,0.00,0.12,1.32,D,5,7/23/2020 18:28
17,0,2,0,0.050858333,0.01,0.00,0.12,1.31,D,5,7/23/2020 18:29
18,0,2,0,0.057533333,0.01,0.00,0.12,1.30,D,5,7/23/2020 18:29
19,0,2,0,0.064566667,0.01,0.00,0.12,1.29,D,5,7/23/2020 18:29
20,0,2,0,0.072288889,0.01,0.00,0.12,1.28,D,5,7/23/2020 18:30
21,0,2,0,0.081555556,0.01,0.00,0.12,1.27,D,5,7/23/2020 18:30
22,0,2,0,0.094883333,0.01,0.00,0.12,1.26,D,5,7/23/2020 18:31
23,0,2,0,0.113555556,0.01,0.00,0.12,1.25,D,5,7/23/2020 18:32
24,0,2,0,0.133683333,0.02,0.00,0.12,1.24,D,5,7/23/2020 18:34
25,0,2,0,0.15695,0.02,0.00,0.12,1.23,D,5,7/23/2020 18:35
