Today''s Date,43670.46896,Date of Test:,43669.49397,Filename:,C:\Maccor\System\University at Buffalo # 1\Active\MV20789-1.094,Procedure,MV207-89 Cycling.000,,SCap,1,C Rate,0.00192,
Rec#,Cyc#,Step,TestTime,StepTime,mAmp-hr,Watt-hr,mAmps,Volts,State,ES,DPt Time,mAh/g,mAh/g
1,0,1,0,0,0.00E+00,0,0,3.020141909,R,0,43669.49397,0,0
2,0,1,0.083333333,0.083333333,0.00E+00,0,0,3.019836728,R,1,43669.49745,0,0
3,0,1,0.166666667,0.166666667,0.00E+00,0,0,3.018616007,R,1,43669.50092,0,0
4,0,1,0.25,0.25,0.00E+00,0,0,3.017547875,R,1,43669.50439,0,0
5,0,1,0.333333333,0.333333333,0.00E+00,0,0,3.016632334,R,1,43669.50786,0,0
6,0,1,0.416666667,0.416666667,0.00E+00,0,0,3.015716793,R,1,43669.51134,0,0
7,0,1,0.5,0.5,0.00E+00,0,0,3.014801251,R,129,43669.51481,0,0
8,0,3,0.500008333,8.33333E-06,9.06E-07,2.60746E-09,0.29938201,2.878080415,D,0,43669.51481,0.000471818,0.000471818
9,0,3,0.500052778,5.27778E-05,1.42E-05,4.0372E-08,0.299763485,2.809109636,D,5,43669.51481,0.007415716,0.007415716
10,0,3,0.500083333,8.33333E-05,2.34E-05,6.5901E-08,0.299916075,2.774166476,D,5,43669.51481,0.012190204,0.012190204
11,0,3,0.500116667,0.000116667,3.34E-05,9.3423E-08,0.299916075,2.741664759,D,5,43669.51481,0.017398709,0.017398709
12,0,3,0.50015,0.00015,4.34E-05,1.20641E-07,0.29999237,2.712977798,D,5,43669.51481,0.02260633,0.02260633
13,0,3,0.500186111,0.000186111,5.42E-05,1.49832E-07,0.29999237,2.685511559,D,5,43669.51482,0.028248301,0.028248301
14,0,3,0.500225,0.000225,6.59E-05,1.80966E-07,0.29999237,2.659571221,D,5,43669.51482,0.03432462,0.03432462
15,0,3,0.500266667,0.000266667,7.84E-05,2.14015E-07,0.299916075,2.635767147,D,5,43669.51482,0.040834172,0.040834172
16,0,3,0.500311111,0.000311111,9.17E-05,2.48969E-07,0.29999237,2.613336385,D,5,43669.51482,0.047778736,0.047778736
17,0,3,0.500355556,0.000355556,1.05E-04,2.83639E-07,0.29999237,2.593194476,D,5,43669.51482,0.054722419,0.054722419
18,0,3,0.500402778,0.000402778,1.19E-04,3.20199E-07,0.29999237,2.574120699,D,5,43669.51482,0.062099451,0.062099451
19,0,3,0.500455556,0.000455556,1.35E-04,3.60774E-07,0.29999237,2.555504692,D,5,43669.51483,0.070344952,0.070344952
20,0,3,0.500511111,0.000511111,1.52E-04,4.03193E-07,0.29983978,2.538719768,D,5,43669.51483,0.079025014,0.079025014
21,0,3,0.500572222,0.000572222,1.70E-04,4.49548E-07,0.299916075,2.522545205,D,5,43669.51483,0.088572115,0.088572115
22,0,3,0.500638889,0.000638889,1.90E-04,4.9981E-07,0.299916075,2.507438773,D,5,43669.51483,0.098987358,0.098987358
23,0,3,0.500716667,0.000716667,2.13E-04,5.5811E-07,0.300144961,2.492637522,D,5,43669.51484,0.111138549,0.111138549
24,0,3,0.5008,0.0008,2.38E-04,6.20222E-07,0.299916075,2.478904402,D,5,43669.51484,0.124158002,0.124158002
25,0,3,0.500891667,0.000891667,2.66E-04,6.88175E-07,0.299916075,2.465629053,D,5,43669.51484,0.13847916,0.13847916
26,0,3,0.500988889,0.000988889,2.95E-04,7.59856E-07,0.29983978,2.452658885,D,5,43669.51485,0.153667579,0.153667579
27,0,3,0.501091667,0.001091667,3.26E-04,8.35246E-07,0.299763485,2.439841306,D,5,43669.51485,0.169724683,0.169724683
28,0,3,0.501202778,0.001202778,3.59E-04,9.16328E-07,0.29999237,2.427176318,D,5,43669.51486,0.187083384,0.187083384
29,0,3,0.501322222,0.001322222,3.95E-04,1.00305E-06,0.299916075,2.41481651,D,5,43669.51486,0.205744786,0.205744786
30,0,3,0.50145,0.00145,4.33E-04,1.09535E-06,0.29983978,2.402914473,D,5,43669.51487,0.225707024,0.225707024
31,0,3,0.501586111,0.001586111,4.74E-04,1.19318E-06,0.299916075,2.390707256,D,5,43669.51487,0.246971084,0.246971084
32,0,3,0.501733333,0.001733333,5.18E-04,1.29848E-06,0.29999237,2.378805219,D,5,43669.51488,0.269971758,0.269971758
33,0,3,0.501888889,0.001888889,5.65E-04,1.40919E-06,0.299916075,2.366903182,D,5,43669.51489,0.294274472,0.294274472
34,0,3,0.502044444,0.002044444,6.12E-04,1.51933E-06,0.300144961,2.354848554,D,5,43669.51489,0.318576863,0.318576863
35,0,3,0.502202778,0.002202778,6.59E-04,1.63088E-06,0.29999237,2.342793927,D,5,43669.5149,0.343313479,0.343313479
36,0,3,0.502352778,0.002352778,7.04E-04,1.73601E-06,0.300068666,2.3307393,D,5,43669.51491,0.366748386,0.366748386
37,0,3,0.502505556,0.002505556,7.50E-04,1.84253E-06,0.300297551,2.318532082,D,5,43669.51491,0.390616642,0.390616642
38,0,3,0.502655556,0.002655556,7.95E-04,1.94657E-06,0.299916075,2.306324865,D,5,43669.51492,0.414051215,0.414051215
39,0,3,0.502797222,0.002797222,8.37E-04,2.04431E-06,0.299763485,2.294728008,D,5,43669.51492,0.436184075,0.436184075
40,0,3,0.502938889,0.002938889,8.80E-04,2.14154E-06,0.29999237,2.282673381,D,5,43669.51493,0.458316385,0.458316385
41,0,3,0.503075,0.003075,9.21E-04,2.23447E-06,0.300144961,2.270923934,D,5,43669.51494,0.479580995,0.479580995
42,0,3,0.503216667,0.003216667,9.63E-04,2.3307E-06,0.29983978,2.258716716,D,5,43669.51494,0.501713974,0.501713974
43,0,3,0.503358333,0.003358333,1.01E-03,2.42641E-06,0.300068666,2.246967269,D,5,43669.51495,0.52384651,0.52384651
44,0,3,0.503505556,0.003505556,1.05E-03,2.52536E-06,0.29983978,2.234607462,D,5,43669.51495,0.546847409,0.546847409
45,0,3,0.50365,0.00365,1.09E-03,2.62189E-06,0.29999237,2.222400244,D,5,43669.51496,0.569414069,0.569414069
46,0,3,0.503791667,0.003791667,1.14E-03,2.71605E-06,0.300144961,2.210040436,D,5,43669.51497,0.591546379,0.591546379
47,0,3,0.503936111,0.003936111,1.18E-03,2.81153E-06,0.299916075,2.197833219,D,5,43669.51497,0.614113045,0.614113045
48,0,3,0.504080556,0.004080556,1.22E-03,2.90649E-06,0.299916075,2.186236362,D,5,43669.51498,0.636680159,0.636680159
49,0,3,0.504219444,0.004219444,1.26E-03,2.99729E-06,0.29999237,2.174334325,D,5,43669.51498,0.658377581,0.658377581
50,0,3,0.504358333,0.004358333,1.31E-03,3.0876E-06,0.29983978,2.162737469,D,5,43669.51499,0.68007686,0.68007686
51,0,3,0.504505556,0.004505556,1.35E-03,3.18282E-06,0.29999237,2.150377661,D,5,43669.515,0.703077544,0.703077544
52,0,3,0.504647222,0.004647222,1.39E-03,3.27392E-06,0.29999237,2.138628214,D,5,43669.515,0.725210192,0.725210192
53,0,3,0.504786111,0.004786111,1.43E-03,3.36275E-06,0.300144961,2.127489128,D,5,43669.51501,0.74690816,0.74690816
54,0,3,0.504925,0.004925,1.48E-03,3.4511E-06,0.300068666,2.11528191,D,5,43669.51501,0.768606341,0.768606341
55,0,3,0.505083333,0.005083333,1.52E-03,3.55126E-06,0.29999237,2.103532464,D,5,43669.51502,0.793343957,0.793343957
56,0,3,0.505227778,0.005227778,1.57E-03,3.64213E-06,0.29999237,2.091783017,D,5,43669.51503,0.81591019,0.81591019
57,0,3,0.505377778,0.005377778,1.61E-03,3.73596E-06,0.299916075,2.07988098,D,5,43669.51503,0.839344663,0.839344663
58,0,3,0.505533333,0.005533333,1.66E-03,3.83271E-06,0.300221256,2.068131533,D,5,43669.51504,0.86364693,0.86364693
59,0,3,0.505691667,0.005691667,1.71E-03,3.93064E-06,0.299916075,2.056229496,D,5,43669.51504,0.888383441,0.888383441
60,0,3,0.505855556,0.005855556,1.75E-03,4.03142E-06,0.29983978,2.044632639,D,5,43669.51505,0.913987755,0.913987755
61,0,3,0.506025,0.006025,1.81E-03,4.13501E-06,0.299916075,2.032578012,D,5,43669.51506,0.940460317,0.940460317
62,0,3,0.5062,0.0062,1.86E-03,4.2414E-06,0.299916075,2.021286336,D,5,43669.51507,0.967801027,0.967801027
63,0,3,0.506380556,0.006380556,1.91E-03,4.35054E-06,0.299916075,2.009689479,D,5,43669.51507,0.996008673,0.996008673
64,0,3,0.506569444,0.006569444,1.97E-03,4.46407E-06,0.299916075,1.998550393,D,5,43669.51508,1.025518678,1.025518678
