Today''s Date,7/27/2019,Date of Test:,7/23/2019,Filename:,C:\Maccor\System\University at Buffalo # 1\Archive\MV20789-1.094,Procedure,MV207-89 Cycling.000,,SCap,1
Rec#,Cyc#,Step,TestTime,StepTime,mAmp-hr,Watt-hr,mAmps,Volts,State,ES
1,0,1,0,0,0,0,0,3.02,R,0
2,0,1,0,0.083333333,0,0,0,3.02,R,1
3,0,1,0,0.166666667,0,0,0,3.02,R,1
4,0,1,0,0.25,0,0,0,3.02,R,1
5,0,1,0,0.333333333,0,0,0,3.02,R,1
6,0,1,0,0.416666667,0,0,0,3.02,R,1
7,0,1,1,0.5,0,0,0,3.01,R,129
8,0,3,1,0.000008333,0,0,0.3,2.88,D,0
9,0,3,1,0.000052778,0,0,0.3,2.81,D,5
10,0,3,1,0.000083333,0,0,0.3,2.77,D,5
11,0,3,1,0.000116667,0,0,0.3,2.74,D,5
12,0,3,1,0.00015,0,0,0.3,2.71,D,5
13,0,3,1,0.000186111,0,0,0.3,2.69,D,5
14,0,3,1,0.000225,0,0,0.3,2.66,D,5
15,0,3,1,0.000266667,0,0,0.3,2.64,D,5
16,0,3,1,0.000311111,0,0,0.3,2.61,D,5
17,0,3,1,0.000355556,0,0,0.3,2.59,D,5
18,0,3,1,0.000402778,0,0,0.3,2.57,D,5
19,0,3,1,0.000455556,0,0,0.3,2.56,D,5
20,0,3,1,0.000511111,0,0,0.3,2.54,D,5
21,0,3,1,0.000572222,0,0,0.3,2.52,D,5
22,0,3,1,0.000638889,0,0,0.3,2.51,D,5
23,0,3,1,0.000716667,0,0,0.3,2.49,D,5
24,0,3,1,0.0008,0,0,0.3,2.48,D,5
25,0,3,1,0.000891667,0,0,0.3,2.47,D,5
26,0,3,1,0.000988889,0,0,0.3,2.45,D,5
27,0,3,1,0.001091667,0,0,0.3,2.44,D,5
28,0,3,1,0.001202778,0,0,0.3,2.43,D,5
29,0,3,1,0.001322222,0,0,0.3,2.41,D,5
30,0,3,1,0.00145,0,0,0.3,2.4,D,5
31,0,3,1,0.001586111,0,0,0.3,2.39,D,5
32,0,3,1,0.001733333,0,0,0.3,2.38,D,5
33,0,3,1,0.001888889,0,0,0.3,2.37,D,5
34,0,3,1,0.002044444,0,0,0.3,2.35,D,5
35,0,3,1,0.002202778,0,0,0.3,2.34,D,5
36,0,3,1,0.002352778,0,0,0.3,2.33,D,5
37,0,3,1,0.002505556,0,0,0.3,2.32,D,5
38,0,3,1,0.002655556,0,0,0.3,2.31,D,5
39,0,3,1,0.002797222,0,0,0.3,2.29,D,5
40,0,3,1,0.002938889,0,0,0.3,2.28,D,5
41,0,3,1,0.003075,0,0,0.3,2.27,D,5
42,0,3,1,0.003216667,0,0,0.3,2.26,D,5
43,0,3,1,0.003358333,0,0,0.3,2.25,D,5
44,0,3,1,0.003505556,0,0,0.3,2.23,D,5
45,0,3,1,0.00365,0,0,0.3,2.22,D,5
46,0,3,1,0.003791667,0,0,0.3,2.21,D,5
47,0,3,1,0.003936111,0,0,0.3,2.2,D,5
48,0,3,1,0.004080556,0,0,0.3,2.19,D,5
49,0,3,1,0.004219444,0,0,0.3,2.17,D,5
50,0,3,1,0.004358333,0,0,0.3,2.16,D,5
51,0,3,1,0.004505556,0,0,0.3,2.15,D,5
52,0,3,1,0.004647222,0,0,0.3,2.14,D,5
53,0,3,1,0.004786111,0,0,0.3,2.13,D,5
54,0,3,1,0.004925,0,0,0.3,2.12,D,5
55,0,3,1,0.005083333,0,0,0.3,2.1,D,5
56,0,3,1,0.005227778,0,0,0.3,2.09,D,5
57,0,3,1,0.005377778,0,0,0.3,2.08,D,5
58,0,3,1,0.005533333,0,0,0.3,2.07,D,5
59,0,3,1,0.005691667,0,0,0.3,2.06,D,5
60,0,3,1,0.005855556,0,0,0.3,2.04,D,5
61,0,3,1,0.006025,0,0,0.3,2.03,D,5
62,0,3,1,0.0062,0,0,0.3,2.02,D,5
63,0,3,1,0.006380556,0,0,0.3,2.01,D,5
64,0,3,1,0.006569444,0,0,0.3,2,D,5
65,0,3,1,0.006769444,0,0,0.3,1.99,D,5
66,0,3,1,0.006980556,0,0,0.3,1.98,D,5
67,0,3,1,0.007197222,0,0,0.3,1.96,D,5
68,0,3,1,0.007433333,0,0,0.3,1.95,D,5
69,0,3,1,0.007672222,0,0,0.3,1.94,D,5
70,0,3,1,0.007933333,0,0,0.3,1.93,D,5
71,0,3,1,0.008202778,0,0,0.3,1.92,D,5
72,0,3,1,0.008486111,0,0,0.3,1.91,D,5
