,Rec#,Cyc#,Step,TestTime,StepTime,mAmp-hr,Watt-hr,mAmps,Volts,State,ES,DPt Time,spec_cap_unc,spec_cap_cor
0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.94,R,0.0,2/28/2020 17:55,0.0,0.0
1,2,0.0,1.0,0.0,0.016666667,0.0,0.0,0.0,2.93,R,1.0,2/28/2020 17:56,0.0,0.0
2,3,0.0,1.0,0.0,0.033333333,0.0,0.0,0.0,2.93,R,1.0,2/28/2020 17:57,0.0,0.0
3,4,0.0,1.0,0.0,0.05,0.0,0.0,0.0,2.93,R,1.0,2/28/2020 17:58,0.0,0.0
4,5,0.0,1.0,0.0,0.066666667,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 17:59,0.0,0.0
5,6,0.0,1.0,0.0,0.083333333,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 18:00,0.0,0.0
6,7,0.0,1.0,0.0,0.1,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 18:01,0.0,0.0
7,8,0.0,1.0,0.0,0.11666666699999999,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 18:02,0.0,0.0
8,9,0.0,1.0,0.0,0.133333333,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 18:03,0.0,0.0
9,10,0.0,1.0,0.0,0.15,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 18:04,0.0,0.0
10,11,0.0,1.0,0.0,0.166666667,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 18:05,0.0,0.0
11,12,0.0,1.0,0.0,0.18333333300000001,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 18:06,0.0,0.0
12,13,0.0,1.0,0.0,0.2,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 18:07,0.0,0.0
13,14,0.0,1.0,0.0,0.21666666699999998,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 18:08,0.0,0.0
14,15,0.0,1.0,0.0,0.233333333,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 18:09,0.0,0.0
15,16,0.0,1.0,0.0,0.25,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 18:10,0.0,0.0
16,17,0.0,1.0,0.0,0.26666666699999997,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 18:11,0.0,0.0
17,18,0.0,1.0,0.0,0.283333333,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 18:12,0.0,0.0
18,19,0.0,1.0,0.0,0.3,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 18:13,0.0,0.0
19,20,0.0,1.0,0.0,0.316666667,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 18:14,0.0,0.0
20,21,0.0,1.0,0.0,0.333333333,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 18:15,0.0,0.0
21,22,0.0,1.0,0.0,0.35,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 18:16,0.0,0.0
22,23,0.0,1.0,0.0,0.36666666700000006,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 18:17,0.0,0.0
23,24,0.0,1.0,0.0,0.38333333299999994,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 18:18,0.0,0.0
24,25,0.0,1.0,0.0,0.4,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 18:19,0.0,0.0
25,26,0.0,1.0,0.0,0.41666666700000005,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 18:20,0.0,0.0
26,27,0.0,1.0,0.0,0.433333333,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 18:21,0.0,0.0
27,28,0.0,1.0,0.0,0.45,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 18:22,0.0,0.0
28,29,0.0,1.0,0.0,0.46666666700000003,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 18:23,0.0,0.0
29,30,0.0,1.0,0.0,0.483333333,0.0,0.0,0.0,2.94,R,1.0,2/28/2020 18:24,0.0,0.0
30,31,0.0,1.0,1.0,0.5,0.0,0.0,0.0,2.94,R,129.0,2/28/2020 18:25,0.0,0.0
31,32,0.0,3.0,1.0,1.1111e-05,1.8e-06,0.0,0.3,2.85,D,0.0,2/28/2020 18:25,0.0009375,0.0009375
32,33,0.0,3.0,1.0,5.5556e-05,1.51e-05,0.0,0.3,2.75,D,5.0,2/28/2020 18:25,0.007864583333333333,0.007864583333333333
33,34,0.0,3.0,1.0,8.3333e-05,2.35e-05,0.0,0.3,2.7,D,5.0,2/28/2020 18:25,0.012239583333333331,0.012239583333333331
